path,domain,bytes,lines,kind,scan_signals,sha256
app/src/main/java/com/horsenma/yourtv/data/ReqSettings.kt,main-kotlin,164,8,text-static-inventory,,4230dd54dc9d357f72534b22ab8cd1e5d7168833d2e1339368aa2f4221c63d84
app/src/main/java/com/horsenma/yourtv/data/ReqSources.kt,main-kotlin,164,10,text-static-inventory,,1db8e35f0559c6f258e3663ecdd66a6cc462915735e0e2e6fc0d0600f37c6e45
app/src/main/java/com/horsenma/yourtv/data/RespSettings.kt,main-kotlin,232,10,text-static-inventory,,a95625304a929cb4d66a9bde47195e429b8cf520a1fb37328f9849304fe1ce36
app/src/main/java/com/horsenma/yourtv/data/Source.kt,main-kotlin,1113,41,text-static-inventory,media,0c938d90eada71fab6deee0aa2b66605c7f80fd8e7e3804165b6db5032ef2d1e
app/src/main/java/com/horsenma/yourtv/data/SourceType.kt,main-kotlin,149,11,text-static-inventory,,072bc03c79041fc28c3b81df5c19c351a73bb5f9f241a3a4f3aba94a77eb98d7
app/src/main/java/com/horsenma/yourtv/data/TV.kt,main-kotlin,3123,60,text-static-inventory,media,5adcec4e1ccd16605ffe09aa584620a842e0eb8097c8196b2111abd231c38637
app/src/main/java/com/horsenma/yourtv/models/ChannelClassifier.kt,main-kotlin,50155,771,text-static-inventory,,32440f0112edd1b8c03b847bc1c60a118f623206a91566a79656d148f50188ac
app/src/main/java/com/horsenma/yourtv/models/ChannelMetadataParser.kt,main-kotlin,7328,162,text-static-inventory,network,cc5631fcf31406c1986701a1d87b71321e051791fd194213186a6a9620c399e4
app/src/main/java/com/horsenma/yourtv/models/EPGXmlParser.kt,main-kotlin,2279,61,text-static-inventory,,d9911bae03eefc1a3daa00be0a72084d19378a48d0a18fe36d268bfc8fdbced3
app/src/main/java/com/horsenma/yourtv/models/LiveDataUtils.kt,main-kotlin,577,18,text-static-inventory,mutable-state,f5ee4c10bf8a16146f7cb845c3c7a8362e2f5dc24c9cb70f86bc94edf7694141
